Question:
List the code links in papers that use the Multi-Perspective Matching (ensemble) model in any benchmark?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?benchmark.
      ?benchmark orkgp:P2036?language.
      ?language orkgp:P2398?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "Multi-Perspective Matching (ensemble)")
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?benchmark.
      ?benchmark orkgp:P2037?code.
      ?code rdfs:label?code_lbl.
       FILTER(REGEX(?code_lbl, "code"))
     }
     LIMIT 1000<|eot_id|>
