Question:
Where can I find code references in papers that have used the Past Decode Reg. + AWD-LSTM-MoS + dyn. eval. model for benchmarking purposes?

Generated SPARQL:
 PREFIX dbo: <http://dbpedia.org/ontology/>
     PREFIX schema: <http://schema.org/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX fcreg: <http://purl.org/dc/elements/1.1/>
     PREFIX vcard: <http://purl.org/vcard/2.1/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX schema: <http://schema.org/>
     PREFIX dcterms: <http://purl.org/dc/terms/>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX oboInOwl: <http://purl.obolibrary.org/obo/inonto/>
     PREFIX cito: <http://cito.org/schema/2.0/>
     PREFIX wkm: <http://www.w3.org/2012/07/owl-knowledge-map#>
     PREFIX wkmq: <http://www.w3.org/2012/07/owl-knowledge-map-questions#>
     PREFIX wkmr: <http://www.w3.org/2012/07/owl-knowledge-map-repositories#>
     PREFIX wkmv: <http://www.w3.org/2012/07/owl-knowledge-map-values#>
     PREFIX wkmq2: <http://www.w3.org/2012/07/owl-knowledge-map-questions2#>
     PREFIX wkmr2: <http://www.w3.org/2012/07/owl-knowledge-map-re
