Question:
Where can I find code references in papers that have used the EfficientNetV2-L model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P34?eval.
      ?eval orkgp:HAS_BENCHMARK?benchmark.
       FILTER(REGEX(?benchmark, "EfficientNetV2-L"))
      ?eval orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_EVALUATION?eval.
      ?eval orkgp:HAS_METHOD?method.
       FILTER(REGEX(?method, "EfficientNetV2-L"))
      ?method orkgp:HAS_IMPLEMENTATION?implementation.
      ?implementation orkgp:P31?code.
     }<|eot_id|>
