Question:
Indicate the model that performed best in terms of Score metric on the Atari 2600 Freeway benchmark dataset?

Generated SPARQL:
 SELECT?model?model_lbl
     WHERE {
      ?metric     a       orkgc:Metric;
                  rdfs:label ?metric_lbl.
       FILTER (str(?metric_lbl) = "Score")
      ?benchmark      orkgp:HAS_DATASET       ?dataset.
      ?dataset       orkgp:HAS_BENCHMARK     ?benchmark.
      ?benchmark      orkgp:HAS_EVALUATION     ?eval.
      ?eval          orkgp:P30               ?score.
      ?score         orkgp:HAS_MODEL         ?model.
      ?model        rdfs:label               ?model_lbl.
      ?model      orkgp:HAS_DATASET         ?dataset.
      ?dataset       rdfs:label               ?dataset_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:P32               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P33               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P34               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P35               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P36               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P37               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P38               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P39               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P40               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P41               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P42               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P43               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P44               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P45               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P46               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P47               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P48               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P49               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P50               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P51               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P52               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P53               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P54               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P55               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P56               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P57               ?cont_lbl.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         or
