Question:
Are children examined in the studies?

Generated SPARQL:
 SELECT?examined
     WHERE {
      ?papers rdf:type orkgc:Paper.
      ?papers orkgp:P31?cont.
      ?cont orkgp:P32?exams.
      ?exams rdfs:label?exams_label.
      ?exams orkgp:P33?exam.
      ?exam orkgp:P34?examined.
       FILTER(REGEX(STR(?exams_label), "children|child"))
      ?papers orkgp:P35?studies.
      ?studies rdfs:label?studies_label.
      ?studies orkgp:P36?conts.
      ?conts orkgp:P32?examss.
      ?examss rdfs:label?examss_label.
      ?examss orkgp:P33?examm.
      ?examm orkgp:P34?examed.
      ?examed orkgp:P34?examined.
      ?cont orkgp:P32?exams.
      ?exams rdfs:label?exams_label.
      ?cont orkgp:P32?exams.
      ?exams orkgp:P33?examm.
      ?examm orkgp:P34?examed.
      ?examed orkgp:P34?examined.
      ?cont orkgp:P32?exams.
      ?exams rdfs:label?exams_label.
      ?cont orkgp:P32?exams.
      ?exams orkgp:P33?examm.
      ?examm orkgp:P34?examed.
      ?examed orkgp:P34?examined.
      ?cont orkgp:P32?exams.
      ?exams rdfs:label?exams_label.
      ?cont orkgp:P32?exams.
      ?exams orkgp:P33?examm.
      ?examm orkgp:P34?examed.
      ?examed orkgp:P34?examined.
      ?cont orkgp:P32?exams.
      ?exams rdfs:label?exams_label.
      ?cont orkgp:P32?exams.
      ?exams orkgp:P33?examm.
      ?examm orkgp:P34?examed.
      ?examed orkgp:P34?examined.
      ?cont orkgp:P32?exams.
      ?exams rdfs:label?exams_label.
      ?cont orkgp:P32?exams.
      ?exams orkgp:P33?examm.
      ?examm orkgp:P34?examed.
      ?examed orkgp:P34?examined.
      ?cont orkgp:P32?exams.
      ?exams rdfs:label?exams_label.
      ?cont orkgp:P32?exams.
      ?exams orkgp:P33?examm.
      ?examm orkgp:P34?examed.
      ?examed orkgp:P34?examined.
      ?cont orkgp:P32?exams.
      ?exams rdfs:label?exams_label.
      ?cont orkgp:P32?exams.
      ?exams orkgp:P33?examm.
      ?examm orkgp:P34?examed.
      ?examed orkgp:P34?examined.
      ?cont orkgp:P32?exams.
      ?exams rdfs:label?exams_label.
      ?cont orkgp:P32?exams.
      ?exams orkgp:P33?examm.
      ?examm orkgp:P34?examed.
      ?examed orkgp:P34?examined.
      ?cont orkgp:P32?exams.
      ?exams rdfs:label?exams_label.
      ?cont orkgp:P32?exams.
      ?exams orkgp:P33?examm.
      ?examm orkgp:P34?examed.
      ?examed orkgp:P34?examined.
      ?cont orkgp:P32?exams.
      ?exams rdfs:label?exams_label.
      ?cont orkgp:P32?ex
