Question:
What is the highest benchmark result achieved on the STS Benchmark dataset, including the metric and its value?

Generated SPARQL:
 PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX orkg: <http://openresearchknowledgegraph.org/ontology/orkg#>
     PREFIX wot: <http://www.w3.org/2019/wot#>
     PREFIX wotd: <http://www.w3.org/2019/wot/dataset#>

     SELECT?metric?value
     WHERE {
      ?metric orkg:benchmark?benchmark.
      ?benchmark wot:dataset <http://example.org/STS-Benchmark>.
      ?benchmark wot:metric?metric.
      ?benchmark wot:metricValue?value.
      ?benchmark orkg:maxValue?maxValue.
       FILTER (?maxValue > (?value AS xsd:float ) )
       FILTER (?benchmark OR?metric OR?value )
     } GROUP BY?metric?value
     HAVING ( COUNT(?benchmark) > 1 )
     ORDER BY DESC(?value)
     LIMIT 1
     END { } 
     END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END {
