Question:
Which model has achieved the highest Score score on the Atari 2600 Q*Bert benchmark dataset?

Generated SPARQL:
 PREFIX wdt: <http://www.wikidata.org/prop/direct/>
     PREFIX wd: <http://www.wikidata.org/entity/>
     SELECT?model?score
     WHERE {
       ?model wdt:P31 wd:Q5.
       ?model wdt:P31 wd:Q146.
       ?model wdt:P279* wd:Q5.
       ?model wdt:P279* wd:Q146.
       ?model wdt:P155 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q109.
       ?model wdt:P154 wd:Q110.
       ?model wdt:P154 wd:Q111.
       ?model wdt:P154 wd:Q112.
       ?model wdt:P154 wd:Q113.
       ?model wdt:P154 wd:Q114.
       ?model wdt:P154 wd:Q115.
       ?model wdt:P154 wd:Q116.
       ?model wdt:P154 wd:Q117.
       ?model wdt:P154 wd:Q118.
       ?model wdt:P154 wd:Q119.
       ?model wdt:P154 wd:Q120.
       ?model wdt:P154 wd:Q121.
       ?model wdt:P154 wd:Q122.
       ?model wdt:P154 wd:Q123.
       ?model wdt:P154 wd:Q124.
       ?model wdt:P154 wd:Q125.
       ?model wdt:P154 wd:Q126.
       ?model wdt:P154 wd:Q127.
       ?model wdt:P154 wd:Q128.
       ?model wdt:P154 wd:Q129.
       ?model wdt:P154 wd:Q130.
       ?model wdt:P154 wd:Q131.
       ?model wdt:P154 wd:Q132.
       ?model wdt:P154 wd:Q133.
       ?model wdt:P154 wd:Q134.
       ?model wdt:P154 wd:Q135.
       ?model wdt:P154 wd:Q136.
       ?model wdt:P154 wd:Q137.
       ?model wdt:P154 wd:Q138.
       ?model wdt:P154 wd:Q139.
       ?model wdt:P154 wd:Q140.
       ?model wdt:P154 wd:Q141.
       ?model wdt:P154 wd:Q142.
       ?model wdt:P154 wd:Q143.
       ?model wdt:P154 wd:Q144.
       ?model wdt:P154 wd:Q145.
       ?model wdt:P154 wd:Q146.
       ?model wdt:P155 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model wdt:P154 wd:Q108.
       ?model w
