Question:
What is the best performing model benchmarking the AESLC dataset in terms of ROUGE-1 metric?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/ontology#>
     PREFIX wot: <http://www.wot semantic.org#>
     SELECT?model?metric
     WHERE {
      ?model orkg:hasBenchmark?benchmark.
      ?benchmark orkg:hasDataset?dataset.
      ?dataset orkg:hasMetric?metric.
      ?benchmark orkg:hasMetric?metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?benchmark_metric.
      ?benchmark orkg:hasMetric?
