Question:
What are the titles and IDs of research papers that include a benchmark for the arXiv dataset?

Generated SPARQL:
 PREFIX orkg: <http://example.org/orkg/>
     PREFIX orkg: <http://example.org/orkg/>
     SELECT?paper?paperID?title
     WHERE {
    ?paper a orkg:ResearchPaper.
    ?paper orkg:includesBenchmarkFor?benchmark.
    ?benchmark orkg:dataset arXiv.
    ?benchmark orkg:hasBenchmark?benchmark1.
    ?benchmark1 orkg:hasBenchmark?benchmark2.
    ?benchmark2 orkg:hasBenchmark?benchmark3.
    ?benchmark3 orkg:hasBenchmark?benchmark4.
    ?benchmark4 orkg:hasBenchmark?benchmark5.
    ?benchmark5 orkg:hasBenchmark?benchmark6.
    ?benchmark6 orkg:hasBenchmark?benchmark7.
    ?benchmark7 orkg:hasBenchmark?benchmark8.
    ?benchmark8 orkg:hasBenchmark?benchmark9.
    ?benchmark9 orkg:hasBenchmark?benchmark10.
    ?benchmark10 orkg:hasBenchmark?benchmark11.
    ?benchmark11 orkg:hasBenchmark?benchmark12.
    ?benchmark12 orkg:hasBenchmark?benchmark13.
    ?benchmark13 orkg:hasBenchmark?benchmark14.
    ?benchmark14 orkg:hasBenchmark?benchmark15.
    ?benchmark15 orkg:hasBenchmark?benchmark16.
    ?benchmark16 orkg:hasBenchmark?benchmark17.
    ?benchmark17 orkg:hasBenchmark?benchmark18.
    ?benchmark18 orkg:hasBenchmark?benchmark19.
    ?benchmark19 orkg:hasBenchmark?benchmark20.
    ?benchmark20 orkg:hasBenchmark?benchmark21.
    ?benchmark21 orkg:hasBenchmark?benchmark22.
    ?benchmark22 orkg:hasBenchmark?benchmark23.
    ?benchmark23 orkg:hasBenchmark?benchmark24.
    ?benchmark24 orkg:hasBenchmark?benchmark25.
    ?benchmark25 orkg:hasBenchmark?benchmark26.
    ?benchmark26 orkg:hasBenchmark?benchmark27.
    ?benchmark27 orkg:hasBenchmark?benchmark28.
    ?benchmark28 orkg:hasBenchmark?benchmark29.
    ?benchmark29 orkg:hasBenchmark?benchmark30.
    ?benchmark30 orkg:hasBenchmark?benchmark31.
    ?benchmark31 orkg:hasBenchmark?benchmark32.
    ?benchmark32 orkg:hasBenchmark?benchmark33.
    ?benchmark33 orkg:hasBenchmark?benchmark34.
    ?benchmark34 orkg:hasBenchmark?benchmark35.
    ?benchmark35 orkg:hasBenchmark?benchmark36.
    ?benchmark36 orkg:hasBenchmark?benchmark37.
    ?benchmark37 orkg:hasBenchmark?benchmark38.
    ?benchmark38 orkg:hasBenchmark?benchmark39.
    ?benchmark39 orkg:hasBenchmark?benchmark40.
    ?benchmark40 orkg:hasBenchmark?benchmark41.
    ?benchmark41 orkg:hasBenchmark?benchmark42.
    ?benchmark42 orkg:hasBenchmark?benchmark43.
    ?benchmark43 orkg:hasBenchmark?benchmark44.
    ?benchmark44 orkg:hasBenchmark?benchmark45.
    ?benchmark45 orkg:hasBenchmark?benchmark46.
    ?benchmark46 orkg:hasBenchmark?benchmark47.
    ?benchmark47 orkg:hasBenchmark?benchmark48.
    ?benchmark48 orkg:hasBenchmark?benchmark49.
    ?benchmark49 orkg:hasBenchmark?benchmark50.
    ?benchmark50 orkg:hasBenchmark?benchmark51.
    ?benchmark51 orkg:hasBenchmark?benchmark52.
    ?benchmark52 orkg:hasBenchmark?benchmark53.
    ?benchmark53 orkg:hasBenchmark?benchmark54.
    ?benchmark54 orkg:hasBenchmark?benchmark55.
    ?benchmark55 orkg:hasBenchmark?benchmark56.
    ?benchmark56 orkg:hasBenchmark?benchmark57.
    ?benchmark57 orkg:hasBenchmark?benchmark58.
    ?benchmark58 orkg:hasBenchmark?benchmark59.
    ?benchmark59 orkg:hasBenchmark?benchmark60.
    ?benchmark60 orkg:hasBenchmark?benchmark61.
    ?benchmark61 orkg:hasBenchmark?benchmark62.
    ?benchmark62 orkg:hasBenchmark?benchmark63.
    ?benchmark63 orkg:has
