Question:
Give me a list of research papers along with their titles and IDs, that have performed benchmarks on the BIOSSES dataset?

Generated SPARQL:
 SELECT?paper?paper_title
     WHERE {
       orkgr:R155561 orkgp:compareContribution?cont.
      ?cont orkgp:P15049?eval.
      ?eval orkgp:P15048?benchmark.
       FILTER(REGEX(?benchmark, "BIOSSES"))
      ?cont orkgp:P15047?dataset.
      ?dataset orkgp:HAS_DATASET?dataset_lbl.
      ?dataset_lbl rdfs:label?dataset_lbl
      ?cont orkgp:HAS_EVALUATION?eval_lbl.
      ?eval_lbl rdfs:label?eval_lbl
      ?cont orkgp:HAS_BENCHMARK?benchmark_lbl.
      ?benchmark_lbl rdfs:label?benchmark_lbl
      ?cont orkgp:HAS_DATASET?dataset_lbl
      ?dataset_lbl orkgp:HAS_DATASET?dataset
      ?dataset orkgp:HAS_BENCHMARK?eval
      ?eval orkgp:HAS_BENCHMARK?benchmark
      ?cont orkgp:HAS_EVALUATION?eval_lbl
      ?eval_lbl rdfs:label?eval
      ?cont orkgp:HAS_BENCHMARK?benchmark
      ?benchmark orkgp:P15048?dataset
      ?dataset orkgp:HAS_DATASET?dataset_lbl
      ?cont orkgp:HAS_DATASET?dataset
      ?dataset orkgp:HAS_BENCHMARK?eval
      ?eval orkgp:HAS_EVALUATION?eval_lbl
      ?eval_lbl rdfs:label?eval
      ?cont orkgp:HAS_BENCHMARK?benchmark
      ?benchmark orkgp:P15048?dataset
      ?dataset orkgp:HAS_DATASET?dataset_lbl
      ?dataset_lbl rdfs:label?dataset
      ?cont orkgp:HAS_EVALUATION?eval
      ?eval orkgp:HAS_EVALUATION?eval_lbl
      ?eval_lbl rdfs:label?eval
      ?cont orkgp:HAS_BENCHMARK?benchmark
      ?benchmark orkgp:P15048?dataset
      ?dataset orkgp:HAS_DATASET?dataset
      ?dataset orkgp:HAS_BENCHMARK?eval
      ?eval orkgp:HAS_EVALUATION?eval_lbl
      ?eval_lbl rdfs:label?eval
      ?cont orkgp:HAS_BENCHMARK?benchmark
      ?benchmark orkgp:P15048?dataset
      ?dataset orkgp:HAS_DATASET?dataset_lbl
      ?dataset_lbl rdfs:label?dataset
      ?cont orkgp:HAS_EVALUATION?eval
      ?eval orkgp:HAS_EVALUATION?eval_lbl
      ?eval_lbl rdfs:label?eval
      ?cont orkgp:HAS_BENCHMARK?benchmark
      ?benchmark orkgp:P15048?dataset
      ?dataset orkgp:HAS_DATASET?dataset
      ?dataset orkgp:HAS_BENCHMARK?eval
      ?eval orkgp:HAS_EVALUATION?eval_lbl
      ?eval_lbl rdfs:label?eval
      ?cont orkgp:HAS_DATASET?dataset
      ?dataset orkgp:HAS_DATASET?dataset_lbl
      ?dataset_lbl rdfs:label?dataset
      ?cont orkgp:HAS_EVALUATION?eval
      ?eval orkgp:HAS_EVALUATION?eval_lbl
      ?eval_lbl rdfs:label?eval
      ?cont orkgp:HAS_BENCHMARK?benchmark
      ?benchmark orkgp:P15048?dataset
      ?dataset orkgp:HAS_DATASET?dataset
      ?dataset orkgp:HAS_BENCHMARK?eval
      ?eval orkgp:HAS_EVALUATION?eval_lbl
      ?eval_lbl rdfs:label?eval
      ?cont orkgp:HAS_DATASET?dataset
      ?dataset orkgp:HAS_DATASET?dataset_lbl
      ?dataset_lbl rdfs:label?dataset
      ?cont orkgp:HAS_EVALUATION?eval
      ?eval orkgp:HAS_EVALUATION?eval_lbl
      ?eval_lbl rdfs:label?eval
      ?cont orkgp:HAS_BENCHMARK?benchmark
      ?benchmark orkgp:P15048?dataset
      ?dataset orkgp:HAS_DATASET?dataset
      ?dataset orkgp:HAS_BENCHMARK?eval
      ?eval orkgp:HAS_EVALUATION?eval_lbl
      ?eval_lbl rdfs:label?eval
      ?cont orkgp:HAS_DATASET?dataset
      ?dataset orkgp:HAS_DATASET?dataset_lbl
      ?dataset_lbl rdfs:label?dataset
      ?cont orkgp:HAS_EVALUATION?eval
      ?
