Question:
What is the top benchmark result (metric and value) over the dataset AESLC?

Generated SPARQL:
 SELECT?metric?value
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label       "AESLC".
         FILTER(REGEX(?dataset, "AESLC"))
      ?benchmark      orkgp:HAS_DATASET      ?dataset;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?eval           ;
                      orkgp:P31             ?cont           ;
                      orkgp:P31             ?cont          
