Question:
Which model has achieved the highest Score score on the Atari 2600 Yars Revenge benchmark dataset?

Generated SPARQL:
 SELECT?model?model_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "Atari 2600 Yars Revenge")
      ?benchmark      orkgp:HAS_DATASET      ?dataset;
                      orkgp:HAS_EVALUATION   ?eval.
      ?eval           orkgp:HAS_VALUE        ?score;
                      orkgp:HAS_MODEL         ?model.
      ?model         rdfs:label              ?model_lbl.
      ?model         orkgp:HAS_DATASET       ?dataset.
      ?model         rdfs:label              ?model_lbl.
       ORDER BY DESC(?score)
      ?model      orkgp:HAS_MODEL         ?model.
      ?model      rdfs:label              ?model_lbl.
      ?model      orkgp:HAS_VALUE        ?score.
      ?model      orkgp:HAS_DATASET       ?dataset.
      ?model      rdfs:label              ?model_lbl.
      ?model      orkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       ?dataset.
      ?model      rkgp:HAS_DATASET       
