Question:
What is the highest benchmark result achieved on the WMT2014 English-German dataset, including the metric and its value?

Generated SPARQL:
 SELECT?metric?metric_lbl (MAX(?value) AS?value)
    WHERE {
      orkgr:R12345 orkgp:compareContribution?contrib.
     ?contrib orkgp:P24?metric.
     ?metric rdfs:label?metric_lbl.
     ?contrib orkgp:HAS_DATASET?dataset.
     ?dataset orkgp:P23?paper.
     ?paper orkgp:P22?eval.
     ?eval orkgp:HAS_METRIC?metric_eval.
     ?metric_eval rdfs:label?metric_lbl_eval.
     ?metric_eval orkgp:P20?value.
     ?dataset rdfs:label?dataset_lbl.
     ?dataset orkgp:P24?dataset_eval.
     ?dataset_eval rdfs:label?dataset_lbl_eval.
     ?dataset_eval orkgp:P21?eval_value.
     ?eval_value orkgp:P19?eval_value_value.
     ?eval_value_value rdfs:label?eval_value_lbl_value.
     ?eval_value_value orkgp:P18?eval.
     ?eval orkgp:P17?cont.
     ?cont orkgp:P16?cont_eval.
     ?cont_eval rdfs:label?cont_eval_lbl.
     ?cont_eval orkgp:P15?cont_eval_value.
     ?cont_eval_value rdfs:label?cont_eval_lbl_value.
     ?cont_eval_value orkgp:P14?cont.
     ?cont orkgp:P13?cont_eval.
     ?cont_eval orkgp:P12?cont_eval_value.
     ?cont_eval_value orkgp:P11?cont.
     ?cont orkgp:P10?cont_eval.
     ?cont_eval orkgp:P9?cont_eval_value.
     ?cont_eval_value orkgp:P8?cont.
     ?cont orkgp:P7?cont_eval.
     ?cont_eval orkgp:P6?cont_eval_value.
     ?cont_eval_value orkgp:P5?cont.
     ?cont orkgp:P4?cont_eval.
     ?cont_eval orkgp:P3?cont_eval_value.
     ?cont_eval_value orkgp:P2?cont.
     ?cont orkgp:P1?cont_eval.
     ?cont_eval orkgp:P0?cont_eval_value.
     ?cont_eval_value orkgp:P23?eval.
     ?eval orkgp:P24?metric_eval.
     ?metric_eval orkgp:P20?value.
     ?value rdfs:label?value_lbl.
     ?contrib orkgp:P24?contrib_eval.
     ?contrib_eval orkgp:P20?cont_eval.
     ?cont_eval orkgp:P19?cont_eval_value.
     ?cont_eval_value rdfs:label?cont_eval_lbl_value.
     ?cont_eval_value orkgp:P18?eval.
     ?contrib orkgp:P23?contrib_eval.
     ?contrib_eval orkgp:P20?cont_eval.
     ?cont_eval orkgp:P19?cont_eval_value.
     ?contrib orkgp:P22?contrib_eval.
     ?contrib_eval orkgp:P20?cont_eval.
     ?cont_eval orkgp:P19?cont_eval_value.
     ?contrib orkgp:P21?contrib_eval.
     ?contrib_eval orkgp:P20?cont_eval.
     ?cont_eval orkgp:P19?cont_eval_value.
     ?contrib orkgp:P24?contrib_eval.
     ?contrib_eval orkgp:P20?cont_eval.
     ?cont_eval orkgp:P19?cont_eval_value.
     ?contrib orkgp:P23?contrib_eval.
     ?contrib_eval orkgp:P20?cont_eval.
     ?cont_eval orkgp:P19?cont_eval_value.
     ?contrib orkgp:P22?contrib_eval.
     ?contrib_eval orkgp:P20?cont_eval.
     ?cont_eval orkgp:P19?cont_eval_value.
     ?contrib orkgp:P24?contrib_eval.
     ?contrib_eval orkgp:P20?cont_eval.
     ?cont_eval orkgp:P19?cont_eval_value.
     ?contrib orkgp:P21?contrib_eval.
     ?contrib_eval orkgp:P20?cont_eval.
     ?cont_eval orkgp:P19?cont_eval
