Question:
Indicate the model that performed best in terms of Score metric on the Atari 2600 Crazy Climber benchmark dataset?

Generated SPARQL:
 SELECT DISTINCT?model?model_lbl
     WHERE {
      ?metric     a       orkgc:Metric;
                  rdfs:label ?metric_lbl.
       FILTER (str(?metric_lbl) = "Score")
      ?benchmark      orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont           orkgp:P31               ?model.
      ?model          rdfs:label               ?model_lbl.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?eval           orkgp:HAS_METRIC        ?metric;
                       orkgp:HAS_VALUE        ?value.
       BIND(xsd:float(?value) AS?value_float)
      ?metric           orkgp:HAS_MODEL         ?model.
      ?cont           orkgp:HAS_MODEL         ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?model          rdfs:label               ?model_lbl.
       ORDER BY DESC(?value_float)
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgq:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:P31
