Question:
List the metrics that are used to evaluate models on the Quasart-T benchmark dataset?

Generated SPARQL:
 SELECT DISTINCT?metric?metric_lbl
     WHERE {
       orkgr:R70642 orkgp:HAS_EVALUATION?eval.
      ?eval orkgp:P71079?recall.
      ?recall rdfs:label?metric_lbl.
       FILTER(REGEX(STR(?metric_lbl), "Recall"))
      ?eval orkgp:P71075?eval2.
      ?eval2 orkgp:P71080?micro_f1.
      ?micro_f1 rdfs:label?metric_lbl.
       FILTER(REGEX(STR(?metric_lbl), "micro-F1"))
     }<|eot_id|>
