Question:
Which model has achieved the highest Score score on the Atari 2600 River Raid benchmark dataset?

Generated SPARQL:
 SELECT DISTINCT?model?model_lbl
    WHERE {
     ?metric      a       orkgc:Metric;
                  rdfs:label ?metric_lbl.
      FILTER (str(?metric_lbl) = "Score")
     ?benchmark      orkgp:HAS_DATASET       ?dataset.
     ?dataset       orkgp:HAS_BENCHMARK     ?benchmark.
     ?benchmark      orkgp:HAS_MODEL         ?model.
     ?model        rdfs:label              ?model_lbl.
     ?model      orkgp:P32               ?cont.
     ?cont       orkgp:HAS_EVALUATION   ?eval.
     ?eval        orkgp:HAS_METRIC        ?metric.
     ?metric      rdfs:label              ?metric_lbl.
     ?cont      orkgp:HAS_MODEL         ?model.
     ?model      rdfs:label              ?model_lbl.
     ?cont      orkgp:P32               ?cont.
     ?cont      orkgp:HAS_DATASET       ?dataset.
     ?dataset      rdfs:label              ?dataset_lbl.
     ?dataset      orkgp:HAS_EVALUATION   ?eval.
     ?eval        orkgp:HAS_METRIC        ?metric.
     ?eval        orkgp:HAS_DATASET       ?dataset.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:HAS_MODEL         ?model.
     ?model      rdfs:label              ?model_lbl.
      BIND(xsd:float(?eval        orkgp:HAS_EVALUATION   ?eval.      0.9999) AS?score)
     ?model      orkgp:P32               ?cont.
     ?cont       orkgp:HAS_DATASET       ?dataset.
     ?dataset      rdfs:label              ?dataset_lbl.
     ?cont      orkgp:HAS_MODEL         ?model.
     ?model      orkgp:P31               ?cont.
     ?cont      orkgp:HAS_EVALUATION   ?eval.
     ?eval        orkgp:HAS_METRIC        ?metric.
     ?eval        orkgp:HAS_DATASET       ?dataset.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:HAS_MODEL         ?model.
     ?model      rdfs:label              ?model_lbl.
     ?cont      orkgp:HAS_DATASET       ?dataset.
     ?dataset      orkgp:HAS_EVALUATION   ?eval.
     ?eval        orkgp:HAS_METRIC        ?metric.
     ?cont      orkgp:P32               ?cont.
     ?cont      orkgp:HAS_MODEL         ?model.
     ?model      orkgp:P31               ?cont.
     ?cont      orkgp:HAS_EVALUATION   ?eval.
     ?eval        orkgp:HAS_METRIC        ?metric.
     ?cont      orkgp:P32               ?cont.
     ?cont      orkgp:HAS_MODEL         ?model.
     ?model      rdfs:label              ?model_lbl.
      BIND(xsd:float(?cont       orkgp:HAS_EVALUATION   ?eval.      0.9999) AS?score)
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:HAS_MODEL         ?model.
     ?model      rdfs:label              ?model_lbl.
     ?cont      orkgp:HAS_DATASET       ?dataset.
     ?dataset      orkgp:HAS_EVALUATION   ?eval.
     ?eval        orkgp:HAS_METRIC        ?metric.
     ?cont      orkgp:P32               ?cont.
     ?cont      orkgp:HAS_MODEL         ?model.
     ?model      orkgp:P31               ?cont.
     ?cont      orkgp:HAS_EVALUATION   ?eval.
     ?eval        orkgp:HAS_METRIC        ?metric.
     ?cont      orkgp:P32               ?cont.
     ?cont      orkgp:HAS_MODEL         ?model.
     ?model      rdfs:label              ?model_lbl.
      BIND(xsd:float(?cont      orkgp:HAS_EVALUATION   ?eval.      0
