Question:
What is the highest benchmark result achieved on the FSNS - Test dataset, including the metric and its value?

Generated SPARQL:
 PREFIX orkg: <http://orkgr.org/rdf/>
     PREFIX orkgc: <http://orkgc.org/rdf/>
     PREFIX orkgp: <http://orkgp.org/rdf/>
     SELECT?metric?value WHERE {
      ?dataset a orkgc:Resource.
      ?dataset orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_VALUE?value.
      ?benchmark orkgp:HAS Metric?metric.
       FILTER (?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR?metric = orkgp:HAS_VALUE.
              OR
