Question:
What is the top benchmark score and its metric on the Nottingham dataset?

Generated SPARQL:
 SELECT?metric?metric_lbl (MAX(?value) AS?score)
     WHERE {
      ?paper orkgp:HAS_DATASET?dataset.
       FILTER (str(?dataset) = "Nottingham dataset")
      ?dataset orkgp:HAS_DATASET?cont.
      ?cont orkgp:HAS_METRIC?metric.
      ?metric rdfs:label?metric_lbl.
      ?cont orkgp:HAS_VALUE?value.
       BIND(xsd:float(?value) AS?value)
      ?paper orkgp:HAS_EVALUATION?eval.
      ?eval orkgp:HAS_METRIC?metric.
      ?metric orkgp:HAS_VALUE?value.
      ?value orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?cont.
      ?cont orkgp:HAS_METRIC?metric.
      ?metric orkgp:HAS_LABEL?metric_lbl.
       BIND(max(?value) AS?score)
      ?cont orkgp:HAS_VALUE?value.
      ?paper orkgp:HAS_EVALUATION?eval.
      ?eval orkgp:HAS_METRIC?metric.
      ?metric orkgp:HAS_VALUE?value.
      ?value orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?cont.
      ?cont orkgp:HAS_METRIC?metric.
      ?metric orkgp:HAS_LABEL?metric_lbl.
       BIND(max(?value) AS?score)
       FILTER (str(?metric_lbl) = "F1")
      ?cont orkgp:HAS_VALUE?value.
      ?paper orkgp:HAS_EVALUATION?eval.
      ?eval orkgp:HAS_METRIC?metric.
      ?metric orkgp:HAS_VALUE?value.
      ?value orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?cont.
      ?cont orkgp:HAS_METRIC?metric.
      ?metric orkgp:HAS_LABEL?metric_lbl.
       BIND(max(?value) AS?score)
      ?cont orkgp:HAS_VALUE?value.
      ?paper orkgp:HAS_EVALUATION?eval.
      ?eval orkgp:HAS_METRIC?metric.
      ?metric orkgp:HAS_VALUE?value.
      ?value orkgg:HAS_DATASET?dataset.
      ?dataset orkgg:HAS_DATASET?cont.
      ?cont orkgg:HAS_METRIC?metric.
      ?metric orkgg:HAS_LABEL?metric_lbl.
       BIND(max(?value) AS?score)
      ?cont orkgp:HAS_VALUE?value.
      ?paper orkgp:HAS_EVALUATION?eval.
      ?eval orkgp:HAS_METRIC?metric.
      ?metric orkgp:
