Question:
What is the top benchmark score and its metric on the Words in Context dataset?

Generated SPARQL:
 ```sparql
SELECT?metric?metric_lbl (MAX(?score) AS?score_lbl)
WHERE {
 ?dataset       a                orkgc:Dataset;
                  rdfs:label      ?dataset_lbl.
  FILTER (str(?dataset_lbl) = "Words in Context")
 ?benchmark      orkgp:HAS_DATASET      ?dataset;
                  orkgp:HAS_EVALUATION   ?eval.
 ?eval           orkgp:HAS_VALUE        ?value;
                  orkgp:HAS_METRIC        ?metric.
  BIND(xsd:float(?value) AS?score)
 ?cont         orkgp:HAS_BENCHMARK     ?benchmark;
                orkgp:HAS_MODEL         ?model.
 ?model       rdfs:label              ?model_lbl.
 ?metric      rdfs:label              ?metric_lbl.
 ?cont        a                        orkgc:CONTAINMENT;
                orkgp:HAS_MODEL         ?model.
}
GROUP BY?metric?metric_lbl
ORDER BY DESC(?score_lbl)
LIMIT 10;
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .sparql
```   .spar
