Question:
Can you list the models that have been evaluated on the BUCC French-to-English dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearch.org/ontology/orkg#>
     PREFIX wot: <http://www.wot Semantic WebOntology.com/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX vocab: <http://purl.org/vocab/vocab#>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbpediaowl: <http://dbpedia.org/ontology/>
     PREFIX wikibase: <http://wikiba.se/ontology#>
     PREFIX schema: <http://schema.org/>
     PREFIX schemaorg: <http://schema.org/>
     PREFIX schema: <http://schema.org/>
     SELECT?model?dataset 
     WHERE {
         ?model wot:evaluatedOn?evaluation.
         ?evaluation vocab:dataset?dataset.
          filter(?dataset = "http://www.iwr.uni-tuebingen.de/~tuebingen-french-english-dataset/"). 
          filter(str(?dataset) = "BUCC French-English Dataset"). 
    } 
    LIMIT 1000 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 

