Question:
What is the top benchmark result (metric and value) over the dataset CommonsenseQA?

Generated SPARQL:
 PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX schema: <http://schema.org/>
     PREFIX dcterms: <http://purl.org/dc/terms/>
     PREFIX orkg: <http://openresearchknowledgegraph.org/ontology/>
     SELECT?metric?value
     WHERE {
    ?metric schema:description "Benchmark result".
    ?metric schema:about <http://www.wikidata.org/entity/Q143>.
    ?metric schema:alternativeName "Top result"@en.
    ?metric schema:alternativeName "Top benchmark result"@en.
    ?metric schema:description "Metric"@en.
    ?metric schema:alternativeName "Top benchmark"@en.
    ?metric schema:description "Value"@en.
    ?metric schema:alternativeName "Top value"@en.
    ?metric schema:description "CommonsenseQA"@en.
    ?metric schema:description "Top result"@en.
    ?metric schema:description "Benchmark"@en.
    ?metric schema:description "Value"@en.
    ?metric schema:description "CommonsenseQA"@en.
    ?metric schema:description "Top benchmark"@en.
    ?metric schema:description "Result"@en.
    ?metric schema:description "Top result"@en.
    ?metric schema:description "Value"@en.
    ?metric schema:description "CommonsenseQA"@en.
    ?metric schema:description "Benchmark"@en.
    ?metric schema:description "Top result"@en.
    ?metric schema:description "Top benchmark"@en.
    ?metric schema:description "Result"@en.
    ?metric schema:description "
