Question:
Which model has achieved the highest Score score on the Reacher, easy (DMControl500k) benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/schema/0.1/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX wot: <http://www.w3.org/ns/wot#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX vocab: <http://schema.org/>

     SELECT?model?score
     WHERE {
     ?model vocab:modelOf?score.
     ?score vocab:scoreOf?benchmark.
     ?benchmark vocab:benchmarkFor?benchmarkDataset.
     ?benchmarkDataset vocab:datasetFor?benchmark.
     ?benchmark vocab:benchmarkOn?benchmarkTask.
     ?benchmarkTask vocab:taskFor?benchmark.
     ?benchmarkTask vocab:taskOn?dataset.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmark vocab:benchmarkOn?task.
     ?benchmarkDataset vocab:datasetFor?dataset.
     ?dataset vocab:datasetFor?benchmark.
     ?benchmarkDataset vocab:benchmarkFor?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?task.
     ?benchmark vocab:benchmarkOn?benchmark.
     ?benchmark vocab:benchmarkOn?dataset.
     ?benchmarkTask vocab:taskFor?benchmark.
     ?benchmarkTask vocab:taskOn?dataset.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkDataset vocab:datasetFor?benchmark.
     ?benchmarkDataset vocab:benchmarkFor?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?task.
     ?benchmarkDataset vocab:benchmarkOn?dataset.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkTask vocab:taskFor?benchmark.
     ?benchmarkTask vocab:taskOn?dataset.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkDataset vocab:datasetFor?benchmark.
     ?benchmarkDataset vocab:benchmarkFor?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?task.
     ?benchmarkDataset vocab:benchmarkOn?dataset.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkTask vocab:taskFor?benchmark.
     ?benchmarkTask vocab:taskOn?dataset.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkDataset vocab:datasetFor?benchmark.
     ?benchmarkDataset vocab:benchmarkFor?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?task.
     ?benchmarkDataset vocab:benchmarkOn?dataset.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkTask vocab:taskFor?benchmark.
     ?benchmarkTask vocab:taskOn?dataset.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkDataset vocab:datasetFor?benchmark.
     ?benchmarkDataset vocab:benchmarkFor?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?task.
     ?benchmarkDataset vocab:benchmarkOn?dataset.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkDataset vocab:benchmarkOn?benchmark.
     ?benchmarkTask vocab:taskFor?benchmark.
     ?benchmarkTask vocab:taskOn?dataset.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkTask vocab:taskOn?benchmark.
     ?benchmarkTask vocab:taskOn?benchmark.
     
