Question:
What is the highest benchmark result achieved on the Ball in cup, catch (DMControl500k) dataset, including the metric and its value?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/orkg/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX csvw: <http://purl.org/spar/csv/>
     SELECT?metric?value
     WHERE {
      ?benchmark a orkg:Dataset.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmarkResult orkg:hasEvaluation?evaluation.
      ?evaluation csvw:value?value.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmarkResult orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation.
      ?benchmark orkg:hasBenchmark?benchmarkResult.
      ?benchmark orkg:hasEvaluation?evaluation
