Question:
Which model has achieved the highest Score score on the Cheetah, run (DMControl500k) benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearch.org/ontology/orkg#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX vocab: <http://www.openresearch.org/vocab/#>
     SELECT?model?score 
     WHERE {
      ?model vocab:score?score.
      ?model vocab:benchmarks?benchmark.
      ?benchmark vocab:dataset?dataset.
      ?benchmark vocab:dataset?dataset.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark.
      ?benchmark vocab:benchmark?benchmark
