Question:
Can you provide the highest benchmark result, including the metric and score, for the Atari 2600 Berzerk dataset?

Generated SPARQL:
 SELECT?metric?metric_lbl (MAX(?value) AS?score)
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "Atari 2600 Berzerk")
      ?benchmark      orkgp:HAS_DATASET      ?dataset;
                      orkgp:HAS_EVALUATION   ?eval.
      ?eval           orkgp:HAS_VALUE        ?value;
                      orkgp:P14              ?metric.
       OPTIONAL {?metric      rdfs:label              ?metric_lbl.}
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark;
                    orkgp:P45049             ?paper.
      ?paper        orkgp:HAS_SOURCE        ?source.
       OPTIONAL {?source      rdfs:label              ?source_lbl.}
      ?cont         rdfs:label                ?cont_lbl.
       OPTIONAL {?cont_lbl      rdfs:label              ?cont_lbl_lbl.}
      ?cont         orkgp:P57100             ?metric2.
       OPTIONAL {?metric2      rdfs:label              ?metric2_lbl.}
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:P14                ?metric.
      ?cont         orkgp:P45049             ?paper.
      ?cont         orkgp:HAS_SOURCE        ?source.
      ?cont         rdfs:label                ?cont_lbl.
      ?cont         orkgp:P57100             ?metric2.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:P14                ?metric.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_SOURCE        ?source.
      ?cont         rdfs:label                ?cont_lbl.
      ?cont         orkgp:P57100             ?metric2.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:P14                ?metric.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_SOURCE        ?source.
      ?cont         rdfs:label                ?cont_lbl.
      ?cont         orkgp:P57100             ?metric2.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:P14                ?metric.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_SOURCE        ?source.
      ?cont         rdfs:label                ?cont_lbl.
      ?cont         orkgp:P57100             ?metric2.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:P14                ?metric.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_SOURCE        ?source.
      ?cont         rdfs:label                ?cont_lbl.
      ?cont         orkgp:P57100             ?metric2.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:P14                ?metric.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_SOURCE        ?source.
      ?cont         rdfs:label                ?cont_lbl.
      ?cont         orkgp:P57100             ?metric2.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:P14                ?metric.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_SOURCE        ?source.
      ?cont         rdfs:label                ?cont_lbl.
      ?cont         orkgp:P57100             ?metric2.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:P14                ?metric.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_SOURCE        ?source.
      ?cont         rdfs:label                ?cont_lbl.
      ?cont         orkgp:P57100             ?metric2.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:P14                ?metric.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_SOURCE        ?source.
      ?cont         rdfs:label                ?cont_lbl.
      ?cont         orkgp:P57100             ?metric2.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?
