Question:
Which model has achieved the highest Accuracy score on the Story Cloze Test benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearchknowledgegraph.org/>
     SELECT?model?accuracy 
     WHERE {
       ?model orkg:hasModelBenchmark?benchmark.
       ?benchmark orkg:hasBenchmarkDataset?dataset.
       ?dataset orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?metric orkg:hasMetricName "Accuracy".
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmarkDatasetValue?value.
       ?benchmark orkg:hasBenchmarkDatasetMetric?metric.
       ?benchmark orkg:hasBenchmark
