Question:
What are the metrics of evaluation over the Stanford Cars dataset?

Generated SPARQL:
 SELECT DISTINCT?metric?metric_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "Stanford Cars")
      ?benchmark      orkgp:HAS_DATASET      ?dataset.
      ?cont          orkgp:HAS_BENCHMARK     ?benchmark.
      ?eval         orkgp:HAS_EVALUATION     ?cont;
                     orkgp:P31               ?eval.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_METRIC        ?metric.
      ?metric      rdfs:label              ?metric_lbl.
      }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    }  ORDER BY DESC(?eval_lbl)  LIMIT 1. 
    } 
