Question:
Does paper "Disambiguating authors in citations on the web and authorship correlations" employe Cosine similarity?

Generated SPARQL:
 SELECT?uses_cosine_similarity
     WHERE {
      ?papers orkgp:P32?papers_labels.
      ?papers_labels rdfs:label?papers_labels_labels.
       FILTER(REGEX(?papers_labels_labels, "Disambiguating authors in citations on the web and authorship correlations"))
      ?papers orkgp:P33?papers_properties.
      ?papers_properties rdfs:label?papers_properties_labels.
       FILTER(REGEX(?papers_properties_labels, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_similarities rdfs:label?papers_similarities_labels.
      ?papers_similarities orkgp:P31?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P32?papers_related_papers.
      ?papers_related_papers orkgp:P33?papers_related_papers_properties.
      ?papers_related_papers_properties rdfs:label?papers_related_papers_properties_labels.
       FILTER(REGEX(?papers_related_papers_properties_labels, "cosine similarity"))
      ?papers_similarities orkgp:P33?papers_similarities_related_papers.
      ?papers_similarities_related_papers orkgp:P32?papers_similarities_related_papers_labels.
       FILTER(REGEX(?papers_similarities_related_papers_labels, "cosine similarity"))
      ?papers_similarities orkgp:P33?papers_similarities_properties.
      ?papers_similarities_properties rdfs:label?papers_similarities_properties_labels.
       FILTER(REGEX(?papers_similarities_properties_labels, "cosine similarity"))
      ?papers_similarities orkgp:P33?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_similarities rdfs:label?papers_similarities_labels.
      ?papers_similarities orkgp:P31?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_similarities rdfs:label?papers_similarities_labels.
      ?papers orkgp:P31?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_similarities rdfs:label?papers_similarities_labels.
      ?papers orkgp:P31?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_similarities rdfs:label?papers_similarities_labels.
      ?papers orkgp:P31?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_similarities rdfs:label?papers_similarities_labels.
      ?papers orkgp:P31?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_similarities rdfs:label?papers_similarities_labels.
      ?papers orkgp:P31?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_similarities rdfs:label?papers_similarities_labels.
      ?papers orkgp:P31?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_similarities rdfs:label?papers_similarities_labels.
      ?papers orkgp:P31?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_similarities rdfs:label?papers_similarities_labels.
      ?papers orkgp:P31?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_similarities rdfs:label?papers_similarities_labels.
      ?papers orkgp:P31?papers_similarities_types.
       FILTER(REGEX(?papers_similarities_types, "cosine similarity"))
      ?papers orkgp:P33?papers_similarities.
      ?papers_sim
