Question:
Can you provide the highest benchmark result, including the metric and score, for the AAPD dataset?

Generated SPARQL:
 SELECT?metric?score
     WHERE {
       orkgr:R155801 {
         orkgrp:HAS_DATASET        a orkgp:Dataset;
                               rdfs:label       "AAPD"^^xsd:string.
         orkgr:HAS_EVALUATION    orkgp:HAS_DATASET         orkgp:HAS_METRIC         orkgp:HAS_VALUE.
         orkgp:HAS_VALUE         orkgr:HAS_EVALUATION   ?eval;
                               orkgp:HAS_METRIC      ?metric.
        ?eval           orkgp:HAS_VALUE        ?score.
         orkgp:HAS_DATASET         orkg:HAS_BENCHMARK      ?benchmark.
         orkgp:HAS_BENCHMARK      orkgr:HAS_EVALUATION   ?eval.
         orkgr:HAS_BENCHMARK      orkgr:HAS_DATASET         orkgp:HAS_DATASET.
         orkgr:HAS_BENCHMARK      orkgr:HAS_METHOD        ?method.
         orkgp:HAS_DATASET         orkg:HAS_DATASET         orkgp:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:HAS_DATASET.
         orkgp:HAS_DATASET         orkgp:HAS_DATASET         orkg:
