Question:
Where can I find code references in papers that have used the Pointer + Coverage + EntailmentGen + QuestionGen model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(STR(?model_lbl), "Pointer + Coverage + EntailmentGen + QuestionGen"))
      ?contrib orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_IMPLEMENTATION?implementation.
      ?implementation orkgp:HAS_CODE?code
     }<|eot_id|>
