Question:
Can you provide the highest benchmark result, including the metric and score, for the Natural Questions (long) dataset?

Generated SPARQL:
 PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
     PREFIX dcterms: <http://purl.org/dc/terms/>
     PREFIX schema: <http://schema.org/>
     PREFIX orkg: <http://www.openresearch.org/orkg/>
     PREFIX wot: <http://www.w3.org/ns/wot/>

     SELECT?metric?score?benchmark
     WHERE {
       ?benchmark a orkg:Dataset.
       ?benchmark schema:name "Natural Questions (long)".
       ?benchmark schema:description?description.
       ?benchmark schema:topic?topic.
       ?metric schema:description?metricDescription.
       ?metric schema:label?metricLabel.
       ?benchmark orkg:hasBenchmark?benchmarkBenchmark.
       ?benchmarkBenchmark schema:description?benchmarkDescription.
       ?benchmarkBenchmark orkg:hasMetric?benchmarkMetric.
       ?benchmarkMetric schema:description?metricDescription.
       ?benchmarkMetric schema:label?metricLabel.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:hasMetricLabel?metricLabel.
       ?benchmarkMetric orkg:hasMetricValue?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric schema:value?score.
       ?benchmarkMetric orkg:
