Question:
Indicate the model that performed best in terms of Test perplexity metric on the WikiText-103 benchmark dataset?

Generated SPARQL:
 SELECT DISTINCT?model?model_lbl
    WHERE {
     ?metric     a       orkgc:Metric;
                  rdfs:label ?metric_lbl.
      FILTER (str(?metric_lbl) = "Test perplexity")
     ?benchmark      orkgp:HAS_DATASET       ?dataset.
     ?dataset       orkgp:HAS_BENCHMARK     ?benchmark.
     ?benchmark      orkgp:HAS_MODEL         ?model.
     ?model        rdfs:label              ?model_lbl.
     ?model      orkgp:P31               ?cont.
     ?cont       orkgp:HAS_METRIC_VALUE  ?mv.
     ?mv         rdfs:label              ?value_lbl.
     ?value_lbl    orkgp:HAS_VALUE        ?value.
     ?value      orkgp:P31               ?perp.
     ?perp       rdfs:label              ?perplbl.
     ?cont      orkgp:HAS_MODEL_VALUE   ?model_value.
     ?model_value    orkgp:P31               ?model_value_cont.
     ?model_value_cont      rdfs:label              ?model_value_lbl.
     ?model_value_lbl      orkgp:HAS_VALUE        ?value2.
     ?value2         rdfs:label              ?perp2lbl.
     ?perp2lbl      orkgp:HAS_VALUE        ?value3.
     ?value3         orkgp:P31               ?cont3.
     ?cont3       orkgp:HAS_METRIC_VALUE  ?mv2.
     ?mv2         rdfs:label              ?value4_lbl.
     ?value4_lbl      orkgp:HAS_VALUE        ?value4.
     ?value4         orkgp:P31               ?perp3.
     ?perp3lbl      rdfs:label              ?perplbl.
     ?cont      orkgp:HAS_MODEL_VALUE   ?model_value.
     ?model_value    orkgp:P31               ?model_value_cont.
     ?model_value_cont      rdfs:label              ?model_value_lbl.
     ?model_value_lbl      orkgp:HAS_VALUE        ?value.
     ?value         orkgp:HAS_VALUE        ?value.
     ?cont       orkgp:HAS_METRIC_VALUE  ?mv.
     ?mv         rdfs:label              ?value_lbl.
     ?cont      orkgp:HAS_MODEL_VALUE   ?model_value.
     ?model_value    orkgp:P31               ?model_value_cont.
     ?model_value_cont      rdfs:label              ?model_value_lbl.
     ?model_value_lbl      orkgp:HAS_VALUE        ?value.
     ?value         orkgp:HAS_VALUE        ?value.
     ?cont3       orkgp:HAS_METRIC_VALUE  ?mv2.
     ?mv2         rdfs:label              ?value4_lbl.
     ?cont       orkgp:HAS_MODEL_VALUE   ?model_value.
     ?model_value    orkgp:P31               ?model_value_cont.
     ?model_value_cont      rdfs:label              ?model_value_lbl.
     ?cont      orkgp:HAS_MODEL_VALUE   ?model_value.
     ?model_value    orkgp:P31               ?model_value_cont.
     ?model_value_cont      rdfs:label              ?model_value_lbl.
     ?cont       orkgp:HAS_METRIC_VALUE  ?mv.
     ?mv         rdfs:label              ?value_lbl.
     ?cont      orkgp:HAS_MODEL_VALUE   ?model_value.
     ?model_value    orkgp:P31               ?model_value_cont.
     ?model_value_cont      rdfs:label              ?model_value_lbl.
     ?cont3       orkgp:HAS_METRIC_VALUE  ?mv2.
     ?mv2         rdfs:label              ?value4_lbl.
     ?cont       orkgp:HAS_MODEL_VALUE   ?model_value.
     ?model_value    orkgp:P31               ?model_value_cont.
     ?model_value_cont      rdfs:label              ?model_value_lbl.
     ?cont      orkgp:HAS_MODEL_VALUE   ?model_value.
     ?model_value    orkgp:P31               ?model_value_cont.
     ?model_value_cont      rdfs:label              ?model_value_lbl.
     ?cont
