question_id,status,message,gt_message
AQ2094,ERROR,"Invalid SPARQL query: Token \""lemma\"": extraneous input 'lemma' expecting {'(', '[', 'true', 'false', IRI_REF, PNAME_NS, PNAME_LN, BLANK_NODE_LABEL, VAR1, VAR2, PREFIX_LANGTAG, INTEGER, DECIMAL, DOUBLE, INTEGER_POSITIVE, DECIMAL_POSITIVE, DOUBLE_POSITIVE, INTEGER_NEGATIVE, DECIMAL_NEGATIVE, DOUBLE_NEGATIVE, STRING_LITERAL1, STRING_LITERAL2, STRING_LITERAL_LONG1, STRING_LITERAL_LONG2, NIL, ANON}",null
AQ0318,ERROR,Invalid SPARQL query: Prefix orkg was not registered using a PREFIX declaration,"?model	?model_lbl
<http://orkg.org/orkg/resource/R126034>	""ViT-H/14""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126036>	""BiT-L""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126037>	""ViT-L/16""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126043>	""BiT-M""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126084>	""CeiT-S""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126086>	""LeViT-384""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126087>	""CeiT-T""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126088>	""LeViT-256""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126089>	""LeViT-192""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126090>	""LeViT-128""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126091>	""LeViT-128S""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126097>	""CAIT-M36-448""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126162>	""DeiT-B""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126253>	""CvT-W24 (384 res, ImageNet-22k pretrain)""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126257>	""DeiT-B-384""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126259>	""CeiT-S (384 finetune res)""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126262>	""DeiT-S""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R126263>	""DeiT-Ti""^^<http://www.w3.org/2001/XMLSchema#string>
"
AQ1748,ERROR,"Invalid SPARQL query: Token \"".\"": extraneous input '.' expecting {'(', '[', 'true', 'false', IRI_REF, PNAME_NS, PNAME_LN, BLANK_NODE_LABEL, VAR1, VAR2, PREFIX_LANGTAG, INTEGER, DECIMAL, DOUBLE, INTEGER_POSITIVE, DECIMAL_POSITIVE, DOUBLE_POSITIVE, INTEGER_NEGATIVE, DECIMAL_NEGATIVE, DOUBLE_NEGATIVE, STRING_LITERAL1, STRING_LITERAL2, STRING_LITERAL_LONG1, STRING_LITERAL_LONG2, NIL, ANON}","?model	?model_lbl
<http://orkg.org/orkg/resource/R116147>	""RNN""^^<http://www.w3.org/2001/XMLSchema#string>
"
AQ1953,ERROR,Invalid SPARQL query: Prefix orkg was not registered using a PREFIX declaration,"?code
""https://github.com/jd-coderepos/cl-titles-parser""^^<http://www.w3.org/2001/XMLSchema#string>
"
AQ0495,ERROR,Invalid SPARQL query: Prefix orkg was not registered using a PREFIX declaration,"?paper	?paper_lbl
<http://orkg.org/orkg/resource/R129805>	""Improving Neural Language Modeling via Adversarial Training""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R129853>	""Language Models are Few-Shot Learners""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130601>	""Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130786>	""Dynamic Evaluation of Neural Sequence Models""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130803>	""Language Models with Transformers""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130817>	""Direct Output Connection for a High-Rank Language Model""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130839>	""Improved Language Modeling by Decoding the Past""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130852>	""Breaking the Softmax Bottleneck: A High-Rank RNN Language Model""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130871>	""Partially Shuffling the Training Data to Improve Language Models""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130890>	""Regularizing and Optimizing LSTM Language Models""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130909>	""Trellis Networks for Sequence Modeling""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130920>	""Fraternal Dropout""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130930>	""Deep Equilibrium Models""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130946>	""Neural Architecture Search with Reinforcement Learning""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130962>	""Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R130975>	""An Empirical Evaluation of Generic Convolutional and Recurrent Networks for Sequence Modeling""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R131002>	""R-Transformer: Recurrent Neural Network Enhanced Transformer""^^<http://www.w3.org/2001/XMLSchema#string>
"
AQ0278,ERROR,Invalid SPARQL query: Prefix orkg was not registered using a PREFIX declaration,"?model	?model_lbl
<http://orkg.org/orkg/resource/R123293>	""CURL""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R123322>	""SAC""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124890>	""C51 noop""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124891>	""Duel noop""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124892>	""Duel hs""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124894>	""Prior noop""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124895>	""Prior hs""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124897>	""DDQN (tuned) noop""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124898>	""DDQN (tuned) hs""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124900>	""DDQN+Pop-Art noop""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124901>	""Gorila""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124902>	""Bootstrapped DQN""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124905>	""Recurrent Rational DQN Average""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124907>	""Rational DQN Average""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124908>	""DQN noop""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124911>	""DQN hs""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124912>	""A2C + SIL""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124913>	""A3C FF hs""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124914>	""A3C FF (1 day) hs""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124916>	""POP3D""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124919>	""Prior+Duel hs""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124920>	""ES FF (1 hour) noop""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124921>	""A3C LSTM hs""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124922>	""Prior+Duel noop""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124931>	""Reactor 500M""^^<http://www.w3.org/2001/XMLSchema#string>
<http://orkg.org/orkg/resource/R124932>	""FQF""^^<http://www.w3.org/2001/XMLSchema#string>
"
AQ2309,ERROR,Invalid SPARQL query: Prefix orkg was not registered using a PREFIX declaration,"?code
""https://github.com/4rChon/NL-FuN""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/aabbeell/reinforcementLearning.a2c.gym""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/AI-RG/rl-experiments""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/alexmlamb/blocks_rl_gru_setup""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/amanda-lambda/drl-experiments""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/amanda-lambda/hack-flappy-bird-drl""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/amaudruz/RL_openaigym""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/arnomoonens/yarll""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/avillemin/Minecraft-AI""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/bentrevett/pytorch-rl""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/braemt/attentive-multi-task-deep-reinforcement-learning""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/cdesilv1/sc2_ai_cdes""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/chainer/chainerrl""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/deepsense-ai/Distributed-BA3C""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/dickreuter/neuron_poker""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/DLR-RM/stable-baselines3""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/dsinghnegi/atari_RL_agent""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/grananqvist/reinforcement-learning-super-mario-A3C""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/gungui98/deeprl-a3c-ai2thor""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/haroldmei/pysc2-study""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/hill-a/stable-baselines""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/hulanwin/A3C-DRL""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/ikostrikov/pytorch-a3c""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/ikostrikov/pytorch-rl""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/InSpaceAI/RL-Zoo""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/joshiatul/game_playing""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/JulT1/RL_SS19""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/Jventajas/Reinforcement-Learning""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/Jzar/Space-Invaders-DQN""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/Kaixhin/ACER""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/Kaixhin/NoisyNet-A3C""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/khanhptnk/bandit-nmt""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/Khrylx/PyTorch-RL""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/lcswillems/torch-ac""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/liuyuezhang/pyrl""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/marload/deep-rl-tf2""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/marload/DeepRL-TensorFlow2""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/mavischer/DRRL""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/miyosuda/async_deep_reinforce""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/muupan/async-rl""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/Nasdin/ReinforcementLearning-AtariGame""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/natsumeS/analysis""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/NervanaSystems/coach""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/ofekluis/sonic_project_ss19""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/openai/universe-starter-agent""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/PaulCharnay/Projet_AIF""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/qihongl/demo-advantage-actor-critic""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/qihongl/dlstm-demo""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/Remtasya/DDPG-Actor-Critic-Reinforcement-Learning-Reacher-Environment""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/roop-pal/Meta-Learning-for-StarCraft-II-Minigames""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/sainijagjit/A3C-Pytorch""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/sharan-dce/A3C""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/Sheepsody/Batched-Impala-PyTorch""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/ShibiHe/Q-Optimality-Tightening""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/tensorpack/tensorpack/tree/master/examples/A3C-Gym""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/traai/async-deep-rl""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/vladfi1/universe-starter-agent""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/wtingda/DeepRLBreakout""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/wxj77/TransferReinforcementLearning""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/yukezhu/tensorflow-reinforce""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/Zartris/TD3_continuous_control""^^<http://www.w3.org/2001/XMLSchema#string>
"
AQ0522,ERROR,Invalid SPARQL query: Prefix wdt was not registered using a PREFIX declaration,"?paper	?paper_lbl
<http://orkg.org/orkg/resource/R131153>	""Message Passing Attention Networks for Document Understanding""^^<http://www.w3.org/2001/XMLSchema#string>
"
AQ0536,ERROR,Invalid SPARQL query: Prefix orkg was not registered using a PREFIX declaration,"?paper	?paper_lbl
<http://orkg.org/orkg/resource/R131170>	""CURL: Contrastive Unsupervised Representations for Reinforcement Learning""^^<http://www.w3.org/2001/XMLSchema#string>
"
AQ2321,ERROR,Invalid SPARQL query: Prefix orkg was not registered using a PREFIX declaration,"?code
""https://github.com/BY571/FQF-and-Extensions""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/ku2482/fqf-iqn-qrdqn.pytorch""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/ku2482/rljax""^^<http://www.w3.org/2001/XMLSchema#string>
""https://github.com/microsoft/FQF""^^<http://www.w3.org/2001/XMLSchema#string>
"
