Question:
What models are being evaluated on the Atari 2600 Name This Game dataset?

Generated SPARQL:
 SELECT DISTINCT?model?model_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "Atari 2600 Name this Game")
      ?benchmark      orkgp:HAS_DATASET      ?dataset;
                      orkgp:HAS_EVALUATION   ?eval.
      ?paper         orkgp:HAS_BENCHMARK     ?benchmark.
       OPTIONAL {?paper      orkgp:HAS_MODEL         ?model.
               ?model      rdfs:label              ?model_lbl.}
      ?contrib      orkgp:P31               ?paper.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_MODEL         ?model.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:P31               ?cont.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?contrib.
      ?cont         orkgp:HAS_MODEL         
