Question:
Where can I find code references in papers that have used the DeiT-Ti model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?code rdfs:label?code_lbl.
       FILTER(REGEX(?code_lbl, "DeiT-Ti"))
      ?contrib orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P5003?eval.
      ?eval orkgp:P5040?implementation.
      ?implementation orkgp:P5002?dataset.
      ?dataset orkgp:P31?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "benchmark"))
     }<|eot_id|>
