Question:
Indicate the model that performed best in terms of Accuracy metric on the MLDoc Zero-Shot English-to-German benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://example.org/orkg#>
     PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
     SELECT?model?accuracy 
     WHERE {
    ?model orkg:hasModel?performance.
    ?performance skos:prefLabel?label.
    ?performance orkg:hasAccuracy?accuracy.
     FILTER (CONTAINS(LCASE(?label), "Zero-Shot English-German")
     AND CONTAINS(LCASE(?label), "benchmark")
     AND CONTAINS(LCASE(?label), "dataset")
     AND CONTAINS(LCASE(?label), "model")
     AND CONTAINS(LCASE(?label), "that")
     AND CONTAINS(LCASE(?label), "performed")
     AND CONTAINS(LCASE(?label), "best")
     AND CONTAINS(LCASE(?label), "in")
     AND CONTAINS(LCASE(?label), "terms")
     AND CONTAINS(LCASE(?label), "of")
     AND CONTAINS(LCASE(?label), "Accuracy")
     AND CONTAINS(LCASE(?label), "metric")
     AND CONTAINS(LCASE(?label), "on")
     AND CONTAINS(LCASE(?label), "the")
     AND CONTAINS(LCASE(?label), "MLDoc")
     AND CONTAINS(LCASE(?label), "Zero-Shot")
     AND CONTAINS
