Question:
What is the name of the top performing model in terms of Score score when benchmarked on the Lunar Lander (OpenAI Gym) dataset?

Generated SPARQL:
 SELECT?model?model_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
        FILTER (str(?dataset_lbl) = "Lunar Lander (OpenAI Gym)")
       ?benchmark      orkgp:HAS_DATASET      ?dataset;
                        orkgp:HAS_BENCHMARK     ?benchmark.
       ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
       ?eval         orkgp:HAS_EVALUATION   ?eval.
        OPTIONAL {?eval           orkgp:HAS_VALUE        ?value.}
        OPTIONAL {?eval           orkgp:HAS_METRIC        ?metric.
                 ?metric          rdfs:label              ?metric_lbl.}
        OPTIONAL {?cont         orkgp:HAS_MODEL         ?model.
                 ?model          rdfs:label              ?model_lbl.}
        OPTIONAL {?cont         orkgp:HAS_EVALUATION   ?eval.
                 ?eval           orkgp:HAS_VALUE        ?value.}
        OPTIONAL {?cont         orkgp:HAS_EVALUATION   ?eval.
                 ?eval           orkgp:HAS_METRIC        ?metric.
                 ?metric          rdfs:label              ?metric_lbl.}
        OPTIONAL {?cont         orkgp:HAS_MODEL         ?model.
                 ?model          rdfs:label              ?model_lbl.
                 ?model          orkgp:HAS_IMPLEMENTATION   ?impl.
                 ?impl           orkgp:HAS_VALUE        ?value.}
        OPTIONAL {?cont         orkgp:HAS_MODEL         ?model.
                 ?model          rdfs:label              ?model_lbl.
                 ?model          orkgp:HAS_EVALUATION   ?eval.
                 ?eval            orkgp:HAS_METRIC        ?metric.
                 ?metric          rdfs:label              ?metric_lbl.}
        OPTIONAL {?cont         orkgp:HAS_MODEL         ?model.
                 ?model          rdfs:label              ?model_lbl.
                 ?model          orkgp:HAS_EVALUATION   ?eval.
                 ?eval            orkgp:HAS_VALUE        ?value.
                 ?value          orkgp:HAS_METRIC        ?metric.
                 ?metric          rdfs:label              ?metric_lbl.}
        OPTIONAL {?cont         orkgp:HAS_MODEL         ?model.
                 ?model          rdfs:label              ?model_lbl.
                 ?model          orkgp:HAS_EVALUATION   ?eval.
                 ?eval            orkgp:HAS_VALUE        ?value.
                 ?value          orkgp:HAS_METRIC        ?metric.
                 ?metric          orkgp:HAS_MODEL         ?model.}
        OPTIONAL {?cont         orkgp:HAS_MODEL         ?model.
                 ?model          rdfs:label              ?model_lbl.
                 ?model          orkgp:HAS_EVALUATION   ?eval.
                 ?eval            orkgp:HAS_VALUE        ?value.
                 ?value          orkgp:HAS_METRIC        ?metric.
                 ?metric          orkgp:HAS_EVALUATION   ?eval.}
        OPTIONAL {?cont         orkgp:HAS_MODEL         ?model.
                 ?model          rdfs:label              ?model_lbl.
                 ?model          orkgp:HAS_EVALUATION   ?eval.
                 ?eval            orkgp:HAS_METRIC        ?metric.
                 ?metric          rdfs:label              ?metric_lbl.}
        OPTIONAL {?cont         orkgp:HAS_MODEL         ?model.
                 ?model          rdfs:label              ?model_lbl.
                 ?model          orkgp:HAS_EVALUATION   ?eval.
                 ?eval            orkgp:HAS_VALUE        ?value.
                 ?value          orkgp:HAS_METRIC        ?metric.
                 ?metric          orkgp:HAS_EVALUATION   ?eval.
                 ?eval           orkgp:HAS_MODEL         ?model.}
        OPTIONAL {?cont         orkgp:HAS_MODEL         ?model.
                 ?model          rdfs:label              ?model_lbl.
                 ?model          orkgp:HAS_EVALUATION   ?eval.
                 ?eval            orkgp:HAS_VALUE        ?value.
                 ?value          orkgp:HAS_METRIC        ?metric.
                 ?metric          orkgp:HAS_EVALUATION   ?eval.
                 ?eval           orkgp:HAS_VALUE        ?value.}
        OPTIONAL {?cont         orkgp:HAS_MODEL         ?model.
                 ?model          rdfs:label              ?model_lbl.
                 ?model          orkgp:HAS_EVALUATION   ?eval.
                 ?eval            orkgp:HAS_METRIC        ?metric.
                 ?metric          rdfs:label              ?metric_lbl.}
        OPTIONAL {?cont         orkgp:HAS_MODEL         
