Question:
Which model has achieved the highest Test perplexity score on the WikiText-2 benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearch.org/orkg/>
     PREFIX wot: <http://www.openresearch.org/orkg/works/>
     PREFIX wiki: <http://www.openresearch.org/orkg/wiki/>
     PREFIX owl: <http://www.w3.org/ontology/wot/>
     SELECT?model?testPerplexity 
     WHERE {
       ?model wot:hasModel?testPerplexity.
       ?testPerplexity wot:hasTestPerplexity?testPerplexityValue.
       ?testPerplexity wot:hasBenchmark?benchmark.
       ?benchmark wot:hasBenchmark wiki:WikiText-2.
       ?testPerplexity wot:hasTestDataset?testDataset.
       ?testDataset wot:hasTestDataset wiki:WikiText-2.
       ?model wot:hasModel?testModel.
       ?testModel wot:hasTestModel?testModelValue.
        FILTER (STR(?testModelValue) = "highest")
        FILTER (STR(?testPerplexityValue) = "lowest")
    } 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
    END {} 
   
