Question:
Where can I find code references in papers that have used the Pointer + Coverage + EntailmentGen + QuestionGen model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P34?implementation.
      ?implementation orkgp:HAS_IMPLEMENTATION?implementation_labels.
       FILTER(REGEX(?implementation_labels, "Pointer + Coverage + EntailmentGen + QuestionGen"))
      ?implementation orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P31?cont.
      ?cont orkgp:P34?implementation.
     }<|eot_id|>
