Question:
What is the best performing model benchmarking the X-Sum dataset in terms of ROUGE-2 metric?

Generated SPARQL:
 ```
      SELECT?model?model_lbl (MAX(?score) AS score)
      WHERE {
        orkgr:R163845 orkgp:HAS_DATASET?dataset.
       ?dataset orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31?cont.
       ?cont orkgp:P31
