Question:
Indicate the model that performed best in terms of Senseval 2 metric on the Supervised: benchmark dataset?

Generated SPARQL:
 SELECT DISTINCT?model?model_lbl
    WHERE {
     ?metric      a       orkgc:Metric;
                  rdfs:label ?metric_lbl.
      FILTER (str(?metric_lbl) = "Senseval 2")
     ?benchmark      orkgp:HAS_DATASET       ?dataset.
     ?dataset       orkgp:HAS_BENCHMARK     ?benchmark.
     ?benchmark      orkgp:HAS_METRIC         ?metric;
                      orkgp:HAS_VALUE        ?value.
     ?value         orkgp:HAS_MODEL         ?model.
     ?model        rdfs:label              ?model_lbl.
     ?model      orkgp:P31               ?cont.
     ?cont       orkgp:HAS_EVALUATION   ?eval.
     ?eval        orkgp:HAS_MODEL         ?model;
                   orkgp:HAS_VALUE        ?value.
     ?value      rdfs:label              ?value_lbl.
     ?cont      rdfs:label              ?cont_lbl.
     ?cont      orkgp:P31               ?model.
     ?model      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?model      orkgp:P31               ?cont.
     ?cont      rdfs:label              ?cont_lbl.
     ?cont      orkgp:P31               ?model.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      orkgp:P31               ?cont.
     ?cont      or
