Question:
What is the name of the top performing model in terms of Accuracy score when benchmarked on the MLDoc Zero-Shot English-to-French dataset?

Generated SPARQL:
 PREFIX orkg: <http://example.org/orkg/>
     PREFIX dbo: <http://dbpedia.org/ontology/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX schema: <http://schema.org/>
     PREFIX vcard: <http://purl.org/vcard/3.0/>
     PREFIX wdt: <http://www.wikidata.org/prop/direct/>
     SELECT?model 
     WHERE {
    ?model wdt:P31 wd:Q5.
    ?model wdt:P31 wd:Q158439.
    ?model schema:description "Top performing model".
    ?model wdt:P31 wd:Q158440.
    ?model schema:description "Accuracy score".
    ?model wdt:P31 wd:Q158441.
    ?model schema:description "MLDoc Zero-Shot English-to-French dataset".
    ?model wdt:P31 wd:Q158442.
    ?model schema:description "Top performing".
    ?model wdt:P31 wd:Q158443.
    ?model schema:description "English".
    ?model wdt:P31 wd:Q158444.
    ?model schema:description "French".
    ?model wdt:P31 wd:Q158445.
    ?model schema:description "Dataset".
    ?model schema:description "Benchmarked".
    ?model schema:description "Accuracy score".
    ?model schema:description "Top performing".
    ?model schema:description "Model".
    ?model schema:description "Accuracy score".
    ?model schema:description "Model".
    ?model schema:description "Accuracy score".
    ?model schema:description "Top performing".

