Question:
Name the datasets that have been used for benchmarking in the citation classification research problem?

Generated SPARQL:
 SELECT?dataset?dataset_lbl
     WHERE {
      ?dataset       a            orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
      ?benchmark      orkgp:HAS_DATASET      ?dataset.
      ?cont           orkgp:HAS_BENCHMARK     ?benchmark;
                      orkgp:P32               ?problem;
                      rdfs:label              ?problem_lbl.
       FILTER (str(?problem_lbl) = "citation classification")
      ?cont      orkgp:HAS_EVALUATION     ?eval.
      ?paper     orkgp:HAS_EVALUATION     ?eval;
                 orkgp:HAS_DATASET         ?dataset.
      ?dataset      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?problem.
      ?problem      rdfs:label              ?problem_lbl.
      ?dataset      orkgp:HAS_DATASET      ?dataset.
      ?dataset      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?problem.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:P
