Question:
Which model has achieved the highest Score score on the Cheetah, run (DMControl500k) benchmark dataset?

Generated SPARQL:
 ```sparql
SELECT?model?score
WHERE {
 ?model rdfs:label?label.
 ?model orkgp:hasBenchmark?benchmark.
 ?benchmark a orkg:Dataset.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark rdfs:label?label.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark orkg:hasBenchmark?benchmark.
 ?benchmark
