Question:
Which model has achieved the highest Score score on the Cheetah, run (DMControl500k) benchmark dataset?

Generated SPARQL:
 ```sparql
SELECT?model?model_lbl
WHERE {
  orkgp:R1 orkgp:R2.
}
```



    ORKG Entity-Property-Value Rdf Datatype
    orkgp:R1 orkgp:R2.      orkgp:Contrib      orkgp:Model
    orkgp:Contrib      orkgp:Score         float
    orkgp:Model      orkgp:Model_lbl      rdfs:label
    orkgp:Model      orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgg:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkgp:PRED           orkgp:HAS_MODEL
    orkgp:HAS_MODEL orkg
