Question:
What are the titles and IDs of research papers that include a benchmark for the PWC Leaderboards (restricted) dataset?

Generated SPARQL:
 SELECT?titles?number
     WHERE {
        ?papers rdf:type orkgc:Paper.
        ?papers orkgp:P31?contrib.
        ?contrib orkgp:P32?benchmark.
        ?benchmark orkgp:HAS_BENCHMARK?has_benchmark.
         FILTER(?has_benchmark = "PWC Leaderboards (restricted)")
        ?benchmark orkgp:HAS_EVALUATION?evaluation.
        ?evaluation orkgp:P43131?number.
        ?papers orkgp:P31?contrib.
        ?contrib orkgp:P32?benchmark.
        ?benchmark orkgp:HAS_BENCHMARK?has_benchmark.
        ?has_benchmark orkgp:HAS_EVALUATION?eval.
        ?eval orkgp:P43131?number.
         BIND(xsd:integer(?number) AS?number)
        ?papers orkgp:P31?contrib.
        ?contrib orkgp:P32?benchmark.
        ?benchmark orkgp:HAS_BENCHMARK?has_benchmark.
        ?has_benchmark orkgp:HAS_EVALUATION?eval.
        ?eval orkgp:P43131?number.
         BIND(xsd:integer(?number) AS?number)
         FILTER(REGEX(?titles, "PWC Leaderboards (restricted", "i"))
        ?papers orkgp:P31?contrib.
        ?contrib orkgp:P32?benchmark.
        ?benchmark orkgp:HAS_BENCHMARK?has_benchmark.
        ?has_benchmark orkgp:HAS_EVALUATION?eval.
        ?eval orkgp:P43131?number.
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?number)
         BIND(xsd:integer(?number) AS?
