Question:
Indicate the model that performed best in terms of BLEU score metric on the IWSLT2014 German-English benchmark dataset?

Generated SPARQL:
 SELECT DISTINCT?model?model_lbl
    WHERE {
     ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
      FILTER (str(?dataset_lbl) = "IWSLT2014 German-English")
     ?benchmark      orkgp:HAS_DATASET      ?dataset;
                      orkgp:HAS_EVALUATION   ?eval.
     ?eval           orkgp:HAS_VALUE        ?value;
                      orkgp:HAS_BENCHMARK     ?benchmark.
     ?paper         orkgp:HAS_EVALUATION   ?eval.
     ?cont         rdfs:label              ?cont_lbl.
     ?paper      rdfs:label              ?paper_lbl.
     ?cont         orkgp:HAS_PAPER        ?paper.
     ?cont         orkgp:HAS_MODEL         ?model.
     ?model      rdfs:label              ?model_lbl.
      OPTIONAL {?model      orkgp:HAS_METRIC        ?metric.
              ?metric      rdfs:label              ?metric_lbl.}
     ?metric      orkgp:HAS_VALUE        ?value.
      OPTIONAL {?eval      orkgp:HAS_METRIC        ?metric.
              ?metric      rdfs:label              ?metric_lbl.}
      OPTIONAL {?cont      orkgp:HAS_MODEL         ?model.
              ?model      rdfs:label              ?model_lbl.}
      OPTIONAL {?cont      orkgp:HAS_BENCHMARK     ?benchmark.
              ?benchmark      rdfs:label              ?benchmark_lbl.}
      OPTIONAL {?cont      orkgp:HAS_DATASET      ?dataset.
              ?dataset      rdfs:label              ?dataset_lbl.}
      OPTIONAL {?cont      orkgp:HAS_EVALUATION   ?eval.
              ?eval           rdfs:label              ?eval_lbl.}
     ?cont         orkgp:HAS_MODEL         ?model.
     ?cont         orkgp:HAS_DATASET      ?dataset.
     ?cont         orkgp:HAS_EVALUATION   ?eval.
     ?cont      orkgp:HAS_BENCHMARK     ?benchmark.
     ?cont      orkgp:HAS_DATASET      ?dataset.
     ?cont      orkgp:HAS_EVALUATION   ?eval.
     ?cont      orkgp:HAS_METRIC        ?metric.
     ?cont      orkgp:HAS_VALUE        ?value.
     ?cont         orkgp:HAS_METRIC        ?metric.
     ?cont      orkgp:HAS_VALUE        ?value.
     ?cont         orkgp:HAS_MODEL         ?model.
     ?cont      orkgp:HAS_MODEL         ?model.
     ?cont      orkgp:HAS_DATASET      ?dataset.
     ?cont      orkgp:HAS_DATASET      ?dataset.
     ?cont      orkgp:HAS_EVALUATION   ?eval.
     ?cont      orkgp:HAS_EVALUATION   ?eval.
     ?cont      orkgp:HAS_BENCHMARK     ?benchmark.
     ?cont      orkgp:HAS_BENCHMARK     ?benchmark.
     ?cont         orkgp:HAS_METRIC        ?metric.
     ?cont      orkgp:HAS_METRIC        ?metric.
     ?cont      orkgp:HAS_VALUE        ?value.
     ?cont      orkgp:HAS_VALUE        ?value.
     ?cont         orkgp:HAS_MODEL         ?model.
     ?cont      orkgp:HAS_MODEL         ?model.
     ?cont         orkgp:HAS_DATASET      ?dataset.
     ?cont      orkgp:HAS_DATASET      ?dataset.
     ?cont      orkgp:HAS_EVALUATION   ?eval.
     ?cont      orkgp:HAS_EVALUATION   ?eval.
     ?cont      orkgp:HAS_BENCHMARK     ?benchmark.
     ?cont      orkgp:HAS_BENCHMARK     ?benchmark.
     ?cont         orkgp:HAS_METRIC        ?metric.
     ?cont      orkgp:HAS_METRIC        ?metric.
     ?cont      orkgp:HAS_VALUE        ?value.
     ?cont      orkgp:HAS_VALUE        ?value.
     ?cont         orkgp:HAS_MODEL         ?model.
     ?cont
