Question:
What is the name of the top performing model in terms of Accuracy score when benchmarked on the MLDoc Zero-Shot English-to-French dataset?

Generated SPARQL:
 SELECT DISTINCT?model?model_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                       rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "MLDoc Zero-Shot English-to-French")
      ?benchmark      orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?eval         orkgp:HAS_EVALUATION    ?value.
      ?value        orkgp:P32               ?score.
      ?score       orkgp:HAS_VALUE          ?value2.
      ?value2      orkgp:P30               ?number.
      ?number      orkgp:P31               ?score3.
      ?score3      orkgp:HAS_VALUE          ?value3.
      ?cont       orkgp:HAS_METHOD         ?model.
      ?model      rdfs:label              ?model_lbl.
      ?value3     orkgp:HAS_DATATYPE      ?datatype.
      ?datatype   a                        orkgc:Float.
      ?cont      orkgp:HAS_EVALUATION    ?eval2.
      ?eval2     orkgp:P32                ?score2.
      ?score2    orkgp:HAS_VALUE          ?value4.
      ?value4     orkgp:P30                ?number2.
      ?number2    orkgp:P31                ?score4.
      ?score4     orkgp:HAS_VALUE          ?value5.
      ?value5     orkgp:HAS_DATATYPE        ?datatype2.
      ?datatype2 a                          orkgc:Float.
      ?cont      orkgp:HAS_EVALUATION    ?eval3.
      ?eval3     orkgp:P32                ?score3.
      ?score3    orkgp:HAS_VALUE          ?value6.
      ?value6     orkgp:P30                ?number3.
      ?number3    orkgp:P31                ?score5.
      ?score5     orkgp:HAS_VALUE          ?value7.
      ?value7     orkgp:HAS_DATATYPE        ?datatype3.
      ?datatype3 a                          orkgc:Float.
      ?cont      orkgp:HAS_EVALUATION    ?eval4.
      ?eval4     orkgp:P32                ?score4.
      ?score4    orkgp:HAS_VALUE          ?value8.
      ?value8     orkgp:P30                ?number4.
      ?number4    orkgp:P31                ?score6.
      ?score6     orkgp:HAS_VALUE          ?value9.
      ?value9     orkgp:HAS_DATATYPE        ?datatype4.
      ?datatype4 a                          orkgc:Float.
      ?cont      orkgp:HAS_EVALUATION    ?eval5.
      ?eval5     orkgp:P32                ?score5.
      ?score5    orkgp:HAS_VALUE          ?value10.
      ?value10    orkgp:P30                ?number5.
      ?number5    orkgp:P31                ?score7.
      ?score7     orkgp:HAS_VALUE          ?value11.
      ?value11    orkgp:HAS_DATATYPE        ?datatype5.
      ?datatype5 a                          orkgc:Float.
      ?cont      orkgp:HAS_EVALUATION    ?eval6.
      ?eval6     orkgp:P32                ?score6.
      ?score6    orkgp:HAS_VALUE          ?value12.
      ?value12    orkgp:P30                ?number6.
      ?number6    orkgp:P31                ?score8.
      ?score8     orkgp:HAS_VALUE          ?value13.
      ?value13    orkgp:HAS_DATATYPE        ?datatype6.
      ?datatype6 a                          orkgc:Float.
      ?cont      orkgp:HAS_EVALUATION    ?eval7.
      ?eval7     orkgp:P32                ?score7.
      ?score7    orkgp:HAS_VALUE          ?value14.
      ?value14    orkgp:P30                ?number7.
      ?number7    orkgp:P31                ?score9.
      ?score9     orkgp:HAS_VALUE          ?value15.
      ?value15    orkgp:HAS_DATATYPE        ?datatype7.
      ?datatype7 a                          orkgc:Float.
      ?cont      orkgp:HAS_EVALUATION    ?eval8.
      ?eval8     orkgp:P32                ?score8.
      ?score8    orkgp:HAS_VALUE          ?value16.
      ?value16    orkgp:P30                ?
