Question:
Indicate the model that performed best in terms of Accuracy metric on the Stanford Cars benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/ontology/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX owl: <http://www.w3.org/ontology/>
     SELECT?model 
     WHERE {?model a orkg:Model.
     ?model orkg:hasAccuracy?accuracy.
     ?accuracy dbpedia:accuracyMetric?accuracyMetric.
     ?accuracy dbpedia:accuracyMetric?accuracyMetric.
     ?accuracy dbpedia:metricFor?metric.
     ?metric owl:maximum?metricMax.
     ?metric owl:maximum?metricMax.
     ?metric owl:maxMember?metricMaxMember.
      FILTER (?metricMaxMember dbpedia:benchmark "Stanford Cars".
           ?metricMaxMember dbpedia:metric?metric.
           ?metricMaxMember orkg:hasAccuracy?accuracyMax.
           ?accuracyMax dbpedia:accuracyMetric?accuracyMetric.
           ?accuracyMetric owl:maxMember?accuracyMetricMax.
           ?accuracyMetricMax owl:maxMember?accuracyMetric.
           ?accuracyMetricMax dbpedia:benchmark "Stanford Cars".
           ?accuracyMetricMax dbpedia:metric?metric.
           ?accuracyMetricMax dbpedia:metric?metric.
           ?accuracyMetricMax dbpedia:metric?metric.
           ?accuracyMetricMax dbpedia:metric?metric.
           ?accuracyMetricMax dbpedia:metric?metric.
           ?accuracyMetricMax owl:maxMember?accuracyMetricMax.
           ?accuracyMetricMax owl:maxMember?accuracyMetric.
           ?accuracyMetricMax owl:maxMember?accuracyMetric.
           ?accuracyMetricMax owl:maxMember?accuracyMetric.
           ?accuracyMetricMax owl:maxMember?accuracyMetric.
           ?accuracyMetricMax owl:maxMember?accuracyMetric.
           ?accuracyMetricMax owl:maxMember?accuracyMax.
           ?accuracyMetricMax owl:maxMember?accuracy.
           ?accuracyMax dbpedia:accuracyMetric?accuracyMetric.
           ?accuracyMax dbpedia:metricFor?metric.
           ?metric owl:maximum?metricMax.
           ?metricMax owl:maxMember?metricMaxMember.
           ?metricMaxMember dbpedia:benchmark "Stanford Cars".
           ?metricMaxMember dbpedia:metric?metric.
           ?metricMaxMember orkg:hasAccuracy?accuracyMax.
           ?accuracyMax dbpedia:accuracyMetric?accuracyMetric.
           ?accuracyMax owl:maxMember?accuracyMax.
           ?accuracyMax owl:maxMember?accuracy.
           ?accuracy owl:maximum?accuracyMax.
           ?accuracyMax owl:maxMember?accuracyMax.
           ?accuracyMax owl:maxMember?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.
           ?accuracy owl:maximum?accuracy.

