Question:
List the code links in papers that use the GPT-2 (small) model in any benchmark?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?code rdfs:label?code_lbl.
       FILTER(REGEX(?code_lbl, "GPT-2 (small)"))
      ?contrib orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P5003?eval.
      ?eval orkgp:P5040?dataset.
      ?dataset orkgp:HAS_DATASET?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "benchmark"))
     }<|eot_id|>
