Question:
List the metrics that are used to evaluate models on the DBpedia benchmark dataset?

Generated SPARQL:
 SELECT?metric?metric_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "DBpedia benchmark dataset")
      ?benchmark      orkgp:HAS_DATASET      ?dataset;
                       orkgp:HAS_EVALUATION   ?eval.
       OPTIONAL {?eval           orkgp:HAS_METRIC        ?metric.
               ?metric          rdfs:label              ?metric_lbl.}
      ?paper          orkgp:HAS_BENCHMARK     ?benchmark.
      ?contribution   orkgp:P31               ?paper;
                      rdfs:label              ?contrib_lbl.
      ?cont_eval      orkgp:HAS_CONTRIBUTION   ?contribution;
                        orkgp:P31               ?paper.
      ?cont_eval      rdfs:label              ?cont_eval_lbl.
      ?sim           orkgp:HAS_EVALUATION   ?cont_eval.
      ?sim           rdfs:label              ?sim_lbl.
      ?eval         orkgp:HAS_METRIC        ?metric.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_SIM          ?sim.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_BENCHMARK     ?benchmark.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_DATASET      ?dataset.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_EVALUATION   ?cont_eval.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_METRIC        ?metric.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_BENCHMARK     ?benchmark.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_DATASET      ?dataset.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_EVALUATION   ?cont_eval.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_METRIC        ?metric.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_BENCHMARK     ?benchmark.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_DATASET      ?dataset.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_EVALUATION   ?cont_eval.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_METRIC        ?metric.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_BENCHMARK     ?benchmark.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_DATASET      ?dataset.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_EVALUATION   ?cont_eval.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_METRIC        ?metric.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_BENCHMARK     ?benchmark.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_DATASET      ?dataset.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_EVALUATION   ?cont_eval.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_METRIC        ?metric.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_BENCHMARK     ?benchmark.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_DATASET      ?dataset.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_EVALUATION   ?cont_eval.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_METRIC        ?metric.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_BENCHMARK     ?benchmark.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_DATASET      ?dataset.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:HAS_EVALU
