Question:
Where can I find code references in papers that have used the AxCell model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P34?code.
      ?code rdfs:label?code_lbl.
       FILTER(REGEX(STR(?code_lbl), "AxCell"))
      ?contrib orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P4008?eval.
      ?eval orkgp:P43134?implementation.
      ?implementation orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P43133?method.
      ?method rdfs:label?method_lbl.
       FILTER(REGEX(STR(?method_lbl), "AxCell"))
     }<|eot_id|>
