Question:
Indicate the model that performed best in terms of Macro Recall metric on the NLP-TDMS (Exp, arXiv only) benchmark dataset?

Generated SPARQL:
 SELECT?model?model_lbl
    WHERE {
     ?metric     a       orkgc:Metric;
                  rdfs:label ?metric_lbl.
      FILTER (str(?metric_lbl) = "Macro Recall")
     ?benchmark      orkgp:HAS_DATASET      ?dataset.
     ?dataset       orkgp:HAS_BENCHMARK     ?benchmark.
     ?benchmark      orkgp:HAS_EVALUATION     ?eval.
     ?eval           orkgp:HAS_METRIC         ?metric;
                      orkgp:HAS_VALUE         ?value.
      BIND(xsd:float(?value) AS?value)
     ?metric      orkgp:HAS_MODEL         ?model.
     ?model      rdfs:label              ?model_lbl.
     ?cont       orkgp:HAS_BENCHMARK     ?benchmark.
     ?cont       orkgp:P31               ?paper.
     ?paper      orkgp:HAS_AUTHOR        ?author.
     ?author     rdfs:label              ?author_lbl.
     ?cont       orkgp:HAS_MODEL         ?model.
     ?cont       orkgp:HAS_SOURCE        ?source.
     ?source     rdfs:label              ?source_lbl.
     ?cont       orkgp:P31               ?paper.
     ?cont       rdfs:label              ?cont_lbl.
     ?cont       orkgp:HAS_DATASET      ?dataset.
     ?cont       orkgp:HAS_MODEL         ?model.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:HAS_SOURCE        ?source.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:HAS_DATASET      ?dataset.
     ?cont       orkgp:HAS_SOURCE        ?source.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:HAS_DATASET      ?dataset.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:HAS_DATASET      ?dataset.
     ?cont       orkgp:HAS_SOURCE        ?source.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp:P31               ?paper.
     ?cont       orkgp
