question,query
"What type of data does the system proposed in paper titled ""Open Research Knowledge Graph"" support?","SELECT ?datatype 
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?title.
  ?cont  orkgp:P7046 ?sys.
  ?sys orkgp:P7055 ?datatype.
  FILTER(REGEX(STR(?title), ""Open Research Knowledge Graph""))
}"
"What is the scope of ""Decentralised Authoring, Annotations and Notifications for a Read-Write Web with Dokieli""?","SELECT ?scope 
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?title.
  ?cont orkgp:P7046 ?sys.
  ?sys orkgp:P7047 ?scope.
  FILTER(REGEX(STR(?title), ""Decentralised Authoring, Annotations and Notifications for a Read-Write Web with dokieli""))
}"
What is the most common Knowledge representation method?,"SELECT (COUNT(?repr) AS ?cnt) ?repr
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?cont orkgp:P7046 ?sys.
  ?sys orkgp:P7056 ?repr.
}
GROUP BY ?repr
ORDER BY DESC(?cnt)
LIMIT 1"
Who is responsible for acquisition in the RASH system?,"SELECT ?acq
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?cont orkgp:P7046 orkgr:R8350.
  orkgr:R8350 orkgp:P7049 ?acq.
}"
"What research problem is addressed in the paper titled ""6th Open Challenge on Question Answering over Linked Data (QALD-6)""?
","SELECT DISTINCT ?concept ?rlabel 
WHERE {
  orkgr:R6386 orkgp:P31 ?x .
  ?x orkgp:P32 ?concept.
  ?concept rdfs:label ?rlabel.
}
LIMIT 1"
What kind of graph does ADANA use?,"SELECT ?graph ?graph_label
WHERE {
  ?paper orkgp:P31 ?cont;
         rdfs:label ?title.
  FILTER(REGEX(?title, ""ADANA""))
  ?cont orkgp:P5008 ?graph. 
  ?graph rdfs:label ?graph_label.
}"
Which papers use the dataset DBLP?,"SELECT DISTINCT ?title
WHERE {
 ?paper a orkgc:Paper;
 orkgp:P31 [
   orkgp:P2005 [
     rdfs:label ""DBLP""^^xsd:string
   ]
 ];
 rdfs:label ?title.
}
ORDER BY ?title"
What is the least common metric used?,"SELECT DISTINCT ?name
WHERE {
 ?paper a orkgc:Paper;
 orkgp:P31 [
   orkgp:P5003 [
     rdfs:label ?name
   ]
 ].
 {
   SELECT DISTINCT (COUNT(?paper_) AS ?min_papers)
   WHERE {
    ?paper_ a orkgc:Paper;
    orkgp:P31 [
      orkgp:P5003 [
      rdfs:label ?name_
      ]
    ].
  }
  GROUP BY ?name_
  ORDER BY ?min_papers
  LIMIT 1
 }
}
GROUP BY ?name ?min_papers
HAVING(COUNT(?paper) = ?min_papers)
ORDER BY ?name"
What is the precision and recall of SemGraphQA?,"SELECT ?precision ?recall
WHERE {
  orkgr:R6898 orkgp:compareContribution ?cont. 
  ?cont orkgp:P34 ?eval.
  ?eval rdfs:label ?eval_labels.
  FILTER(REGEX(?eval_labels, ""SemGraphQA""))
  ?eval orkgp:P3004 ?precision;
        orkgp:P5015 ?recall.
}"
What metric will be used to evaluate question answering systems?,"SELECT DISTINCT ?name
WHERE {
  [
    orkgp:P34 [
      rdfs:label ?name 
    ]
  ].
  FILTER(STRLEN(?name) > 0)
}
ORDER BY ?name"
