Question:
What is the top benchmark score and its metric on the ImageNet V2 dataset?

Generated SPARQL:
 SELECT?metric?metric_lbl
     WHERE {
      ?benchmark     a            orkgc:Benchmark;
                      rdfs:label   ?metric_lbl.
       FILTER (str(?metric_lbl) = "Accuracy")
      ?benchmark      orkgp:P32     ?eval.
      ?eval           orkgp:HAS_DATASET      ?dataset.
      ?dataset       orkgp:HAS_DATASET      ?cont.
      ?cont          rdfs:label              ?cont_lbl.
       FILTER (str(?cont_lbl) = "ImageNet ReaL")
      ?cont          orkgp:P31              ?contrib.
      ?contrib      orkgp:HAS_BENCHMARK     ?benchmark.
      ?contrib      orkgp:P32              ?eval.
      ?eval         rdfs:label              ?metric.
       FILTER (str(?metric) = "Accuracy")
       ORDER BY DESC(?metric)
       LIMIT 1
     }    .     ```


    I am using the following variables:
    -?metric: the metric value of the benchmark
    -?metric_lbl: the label of the metric value
    -?cont: the dataset
    -?cont_lbl: the label of the dataset
    -?contrib: the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label of the contribution
    -?cont_lbl: the label
